City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Airai,100,TL,1581475631,72,-8.93,125.41,78.37,4.09
Hasaki,20,JP,1581475631,46,35.73,140.83,55.0,8.05
Zhigansk,100,RU,1581475632,94,66.77,123.37,-14.42,11.54
Bredasdorp,1,ZA,1581475632,82,-34.53,20.04,68.0,12.75
Puerto Ayora,68,EC,1581475632,82,-0.74,-90.35,78.64,4.47
East London,70,ZA,1581475464,81,-33.02,27.91,69.85,13.0
New Norfolk,75,AU,1581475632,77,-42.78,147.06,70.0,13.87
Verkh-Usugli,0,RU,1581475632,47,52.7,115.17,12.13,4.85
Rikitea,100,PF,1581475633,80,-23.12,-134.97,78.96,20.56
Severo-Kuril'sk,76,RU,1581475633,87,50.68,156.12,22.66,16.4
Kaitangata,100,NZ,1581475633,57,-46.28,169.85,73.99,1.01
Saint-Augustin,100,CA,1581475633,97,51.23,-58.65,14.97,3.09
Pakokku,0,MM,1581475633,41,21.33,95.1,74.23,7.14
Dingzhou,0,CN,1581475633,60,38.51,115.0,41.0,2.24
Hermanus,0,ZA,1581475633,89,-34.42,19.23,71.01,8.01
Necochea,0,AR,1581475339,91,-38.55,-58.74,63.0,7.0
Bilma,33,NE,1581475634,26,18.69,12.92,54.99,4.14
Hithadhoo,62,MV,1581475634,74,-0.6,73.08,83.08,18.07
Okhotsk,100,RU,1581475634,92,59.38,143.3,0.82,0.63
Cidreira,15,BR,1581475634,75,-30.18,-50.21,73.17,20.62
Port Lincoln,100,AU,1581475634,65,-34.73,135.87,68.14,11.61
Kampot,40,KH,1581475635,66,10.62,104.18,84.2,11.41
Vestmannaeyjar,0,IS,1581475635,65,63.44,-20.27,26.98,18.95
Eirunepe,100,BR,1581475635,96,-6.66,-69.87,73.94,1.07
Mataura,78,NZ,1581475635,79,-46.19,168.86,62.01,8.01
Hegang,64,CN,1581475635,95,47.4,130.37,31.1,1.25
Vardo,22,NO,1581475635,79,70.37,31.11,31.53,19.62
Esperance,90,AU,1581475636,72,-33.87,121.9,68.0,8.05
Cape Town,0,ZA,1581475636,82,-33.93,18.42,71.01,1.12
Yellowknife,5,CA,1581475636,73,62.46,-114.35,-34.01,3.36
Pevek,0,RU,1581475636,67,69.7,170.31,-8.68,5.06
Forbes,0,AU,1581475636,41,-33.38,148.02,90.0,1.01
Busselton,100,AU,1581475637,28,-33.65,115.33,91.0,6.89
San Patricio,5,MX,1581475637,73,19.22,-104.7,77.0,11.41
Dabakala,64,CI,1581475637,15,8.37,-4.43,75.51,6.46
Codrington,100,AU,1581475637,92,-38.27,141.97,63.36,22.37
Butaritari,81,KI,1581475637,83,3.07,172.79,82.08,16.44
Pipri,40,IN,1581475637,77,19.8,75.53,68.0,3.36
Castro,84,BR,1581475638,96,-24.79,-50.01,58.42,8.01
Punta Arenas,90,CL,1581475638,81,-53.15,-70.92,51.8,16.11
Buala,95,SB,1581475638,80,-8.14,159.59,83.26,10.92
Kununurra,100,AU,1581475638,66,-15.77,128.73,86.0,5.82
Albany,90,US,1581475590,74,42.6,-73.97,36.0,8.05
Kodiak,90,US,1581475639,95,57.79,-152.41,32.0,21.92
Hohhot,0,CN,1581475639,55,40.81,111.65,33.8,2.24
Chui,5,UY,1581475639,83,-33.7,-53.46,65.34,9.71
Kapaa,75,US,1581475639,88,22.08,-159.32,71.6,18.34
Bathsheba,75,BB,1581475639,78,13.22,-59.52,78.8,21.92
Ponta do Sol,75,PT,1581475639,82,32.67,-17.1,62.6,2.24
Ushuaia,75,AR,1581475525,71,-54.8,-68.3,53.6,8.05
Nanning,90,CN,1581475700,93,22.82,108.32,66.2,2.24
College,1,US,1581475700,83,64.86,-147.8,-9.0,4.81
Mahebourg,40,MU,1581475700,94,-20.41,57.7,80.01,11.41
Norman Wells,75,CA,1581475700,83,65.28,-126.83,-9.4,2.24
Hobart,75,AU,1581475652,77,-42.88,147.33,70.0,13.87
Marsh Harbour,36,BS,1581475700,89,26.54,-77.06,74.91,11.23
Henties Bay,0,NA,1581475701,84,-22.12,14.28,66.0,3.0
Moyale,0,KE,1581475701,49,3.52,39.06,75.74,4.7
Ostrovnoy,100,RU,1581475701,86,68.05,39.51,30.99,28.72
Port Elizabeth,0,ZA,1581475701,88,-33.92,25.57,68.0,10.29
Vysokogornyy,100,RU,1581475701,92,50.12,139.15,25.11,3.42
Mwingi,10,KE,1581475701,71,-0.93,38.06,66.13,0.16
Ribeira Grande,58,PT,1581475702,89,38.52,-28.7,57.88,11.81
Barrow,1,US,1581475702,67,71.29,-156.79,-25.6,6.93
Ust'-Donetskiy,100,RU,1581475702,82,47.64,40.87,27.03,16.78
Gallup,90,US,1581475702,80,35.53,-108.74,30.2,3.36
Vaini,75,TO,1581475702,88,-21.2,-175.2,80.6,8.05
Zeya,100,RU,1581475702,91,53.75,127.27,9.7,3.91
Port Alfred,14,ZA,1581475703,93,-33.59,26.89,64.99,16.22
Narsaq,2,GL,1581475703,38,60.92,-46.05,5.0,11.41
Sattahip,20,TH,1581475493,70,12.67,100.9,91.99,2.24
Bloemhof,0,ZA,1581475704,85,-27.65,25.61,60.37,6.46
Arraial do Cabo,100,BR,1581475704,78,-22.97,-42.03,76.15,11.1
Caxito,75,AO,1581475704,83,-8.58,13.66,80.6,4.7
Saint-Philippe,58,RE,1581475704,94,-21.36,55.77,78.8,6.93
Rimbey,90,CA,1581475704,92,52.63,-114.24,21.2,21.92
Atuona,1,PF,1581475705,78,-9.8,-139.03,81.68,15.79
Sept-Iles,90,CA,1581475705,85,50.2,-66.38,23.0,8.05
Eureka,1,US,1581475705,76,40.8,-124.16,55.4,18.34
Ketchikan,20,US,1581475705,86,55.34,-131.65,41.0,9.17
Inverell,1,AU,1581475705,58,-29.78,151.12,87.01,4.0
Luderitz,100,NA,1581475705,93,-26.65,15.16,64.4,11.41
Hurghada,0,EG,1581475651,57,27.26,33.81,50.0,3.36
Damghan,0,IR,1581475706,52,36.17,54.35,25.63,5.37
Qaanaaq,0,GL,1581475706,62,77.48,-69.36,-19.1,6.82
Khao Yoi,20,TH,1581475706,58,13.24,99.82,102.0,3.36
Isangel,75,VU,1581475706,83,-19.55,169.27,84.2,9.17
Provideniya,90,RU,1581475706,91,64.38,-173.3,1.4,15.66
Shimoda,75,JP,1581475707,58,34.67,138.95,61.0,11.41
Bluff,98,NZ,1581475707,79,-46.6,168.33,62.01,8.01
Udangudi,40,IN,1581475707,83,8.43,78.02,77.0,16.46
Hilo,90,US,1581475707,78,19.73,-155.09,71.6,13.87
Corinth,20,GR,1581475707,76,37.94,22.96,57.2,9.13
George Town,20,MY,1581475524,74,5.41,100.34,86.0,5.82
Czarnkow,75,PL,1581475708,69,52.9,16.56,39.0,14.99
Morant Bay,20,JM,1581475708,69,17.88,-76.41,80.6,18.34
Verkhnevilyuysk,100,RU,1581475708,96,63.45,120.32,-12.19,6.22
Raudeberg,100,NO,1581475708,95,61.99,5.14,36.0,16.84
Chicama,75,PE,1581475708,88,-7.84,-79.15,71.6,10.29
Coroico,75,BO,1581475708,93,-16.19,-67.73,46.4,6.93
Chengde,0,CN,1581475709,51,40.97,117.94,40.77,2.04
Kukuna,33,SL,1581475769,92,9.4,-12.67,69.73,1.97
Hay River,40,CA,1581475499,73,60.82,-115.8,-31.0,2.24
Jamestown,90,US,1581475637,80,42.1,-79.24,34.0,13.87
Sturgeon Falls,90,CA,1581475479,92,46.36,-79.93,27.0,10.29
Ulladulla,75,AU,1581475770,100,-35.35,150.47,73.4,11.41
Ayia Marina,20,GR,1581475770,76,37.75,23.53,57.99,8.59
Nemuro,20,JP,1581475770,81,43.32,145.57,32.0,12.75
Batsfjord,36,NO,1581475770,90,70.63,29.72,23.63,17.25
Vila Velha,90,BR,1581475770,94,-20.33,-40.29,73.99,6.93
Doha,0,QA,1581475770,65,25.29,51.53,52.0,16.11
Almaznyy,40,RU,1581475771,85,48.04,40.05,24.8,17.9
Blythe,1,US,1581475771,24,33.61,-114.6,57.2,6.93
Harper,93,LR,1581475771,90,4.38,-7.72,75.96,2.48
Chimore,100,BO,1581475771,98,-16.98,-65.13,72.23,0.4
Bengkulu,99,ID,1581475771,70,-3.8,102.27,82.65,1.81
Mehamn,92,NO,1581475771,85,71.04,27.85,31.82,27.81
Muhafazat Lahij,100,YE,1581475771,87,13.17,44.58,71.17,10.96
Mattru,40,SL,1581475772,82,7.62,-11.83,77.2,3.06
Leningradskiy,0,RU,1581475772,93,69.38,178.42,-20.88,10.78
Tiksi,100,RU,1581475772,90,71.69,128.87,-20.97,2.64
Meulaboh,14,ID,1581475772,79,4.14,96.13,81.68,7.52
Pisco,100,PE,1581475772,83,-13.7,-76.22,71.01,10.29
Tongliao,48,CN,1581475773,69,43.61,122.27,40.15,9.86
Grindavik,75,IS,1581475773,79,63.84,-22.43,23.0,6.93
Tasiilaq,100,GL,1581475773,85,65.61,-37.64,23.0,16.11
Lensk,100,RU,1581475773,93,60.73,114.93,-13.68,9.19
Tura,0,IN,1581475773,43,25.52,90.22,67.89,3.65
Labuhan,100,ID,1581475773,77,-6.88,112.21,83.25,2.06
Chokurdakh,29,RU,1581475773,67,70.63,147.92,-26.21,0.49
Bosobolo,0,CD,1581475774,33,4.18,19.9,66.69,4.32
Kahului,40,US,1581475577,64,20.89,-156.47,75.2,12.75
Klaksvik,13,FO,1581475774,74,62.23,-6.59,33.8,11.41
Faya,20,SA,1581475774,66,18.39,42.45,48.2,4.7
Laguna,1,US,1581475774,60,38.42,-121.42,64.4,5.46
Tuatapere,100,NZ,1581475775,79,-46.13,167.68,62.01,8.01
Noumea,56,NC,1581475775,62,-22.28,166.46,87.8,12.75
Thompson,5,CA,1581475576,60,55.74,-97.86,-25.6,8.05
Geraldton,0,AU,1581475775,45,-28.77,114.6,87.8,10.29
Ilulissat,63,GL,1581475775,53,69.22,-51.1,-2.2,1.12
Daru,100,PG,1581475775,70,-9.08,143.21,85.91,8.95
Lebu,0,CL,1581475776,92,-37.62,-73.65,57.16,3.89
Maceio,20,BR,1581475776,83,-9.67,-35.74,77.0,3.36
Bambous Virieux,40,MU,1581475776,94,-20.34,57.76,80.01,11.41
Ruzhyn,98,UA,1581475776,96,49.72,29.2,32.77,18.57
Longyearbyen,20,SJ,1581475776,60,78.22,15.64,8.6,17.22
Pangody,100,RU,1581475776,96,65.85,74.49,9.25,12.12
Lavrentiya,100,RU,1581475776,94,65.58,-171.0,-5.13,9.66
La Ronge,20,CA,1581475777,56,55.1,-105.28,-14.8,12.75
Camara de Lobos,75,PT,1581475777,82,32.63,-16.97,62.6,2.24
Sitka,90,US,1581475777,69,57.05,-135.33,39.2,5.82
Bambanglipuro,61,ID,1581475777,66,-7.95,110.28,84.83,4.83
Nanortalik,95,GL,1581475838,59,60.14,-45.24,16.11,16.51
Santiago,11,CL,1581475838,60,-33.46,-70.65,70.0,10.29
Oued Meliz,0,TN,1581475838,75,36.47,8.55,46.4,4.7
Rocha,0,UY,1581475838,95,-34.48,-54.33,58.5,3.04
Rurrenabaque,97,BO,1581475838,98,-14.44,-67.53,71.96,1.36
Kamenka,100,RU,1581475838,87,51.32,42.77,19.0,15.01
Tuktoyaktuk,20,CA,1581475839,74,69.45,-133.04,-27.4,11.41
Lagoa,33,PT,1581475839,79,39.05,-27.98,62.15,17.45
Smiltene,96,LV,1581475839,96,57.42,25.9,33.01,1.99
Coquimbo,90,CL,1581475839,88,-29.95,-71.34,62.6,4.7
Les Escoumins,100,CA,1581475839,94,48.11,-69.02,20.62,5.1
Alugan,20,PH,1581475839,83,12.22,125.48,78.71,15.05
Avarua,99,CK,1581475839,78,-21.21,-159.78,82.4,12.75
San Andres,20,CO,1581475587,74,12.58,-81.7,82.4,13.87
Paamiut,99,GL,1581475840,81,61.99,-49.67,3.92,12.53
Homer,90,US,1581475840,73,59.64,-151.55,24.8,5.82
Thinadhoo,40,MV,1581475840,74,0.53,72.93,82.98,17.65
Alofi,100,NU,1581475840,82,-19.06,-169.92,81.1,13.71
San Rafael,6,AR,1581475840,48,-34.62,-68.33,72.14,18.92
Sarwar,40,IN,1581475840,35,26.07,75.0,59.05,4.97
Carnarvon,40,AU,1581475841,74,-24.87,113.63,78.8,10.29
Upernavik,100,GL,1581475841,75,72.79,-56.15,-8.54,2.26
Severomuysk,85,RU,1581475841,87,56.15,113.43,-7.1,4.81
Yulara,0,AU,1581475841,13,-25.24,130.99,100.4,13.87
Saint George,1,US,1581475841,38,37.1,-113.58,46.4,3.36
Voyvozh,100,RU,1581475842,89,62.89,54.96,20.98,12.06
Havre-Saint-Pierre,90,CA,1581475842,92,50.23,-63.6,19.4,4.7
Saint-Joseph,0,RE,1581475842,94,-21.37,55.62,78.8,6.93
Baft,0,IR,1581475842,35,29.23,56.61,32.04,3.98
Khatanga,0,RU,1581475842,92,71.97,102.5,-22.0,5.75
Lingao,0,CN,1581475842,81,19.91,109.69,72.18,5.37
Talnakh,40,RU,1581475842,84,69.49,88.4,3.2,31.32
Half Moon Bay,5,US,1581475843,23,37.46,-122.43,66.2,4.09
Vallenar,80,CL,1581475843,91,-28.57,-70.76,59.22,1.97
Teguldet,100,RU,1581475843,93,57.31,88.17,5.5,10.47
Nyurba,87,RU,1581475843,94,63.28,118.33,-11.69,7.11
Hofn,86,IS,1581475843,57,64.25,-15.21,32.58,11.36
Lorengau,99,PG,1581475843,78,-2.02,147.27,82.27,14.5
Bira,97,RU,1581475844,83,49.0,132.47,22.21,3.58
Broken Hill,0,AU,1581475844,44,-31.95,141.43,78.8,17.22
Usinsk,100,RU,1581475844,92,65.99,57.53,20.61,24.36
Bubaque,0,GW,1581475844,64,11.28,-15.83,79.38,13.18
Domoni,50,KM,1581475844,70,-12.26,44.53,84.87,7.72
Safaga,0,EG,1581475844,57,26.73,33.94,50.0,3.36
Kuytun,100,RU,1581475844,90,54.34,101.5,3.97,4.61
Kodinar,1,IN,1581475845,43,20.79,70.7,76.26,11.07
Baruun-Urt,100,MN,1581475845,80,46.68,113.28,22.1,2.93
Calabozo,0,VE,1581475845,51,8.92,-67.43,80.08,7.36
Sao Filipe,47,CV,1581475845,65,14.9,-24.5,70.54,14.29
Clyde River,90,CA,1581475845,75,70.47,-68.59,-18.4,6.93
Nkowakowa,100,ZA,1581475845,87,-23.89,30.29,53.6,9.17
Wahpeton,74,US,1581475677,79,46.27,-96.61,28.99,14.99
Ulaangom,26,MN,1581475906,65,49.98,92.07,10.29,6.64
Fortuna,1,US,1581475779,76,40.6,-124.16,55.4,18.34
Avanuorri,75,NO,1581475906,74,71.0,24.66,33.8,32.21
Bermejo,75,AR,1581475906,61,-32.88,-68.8,78.8,3.36
Ponnampet,20,IN,1581475906,88,12.15,75.93,75.2,5.82
Mahabalipuram,40,IN,1581475907,83,12.63,80.17,81.0,3.36
Arlit,100,NE,1581475907,15,18.74,7.39,61.74,4.92
Mar del Plata,0,AR,1581475907,77,-38.0,-57.56,69.01,9.17
Mossamedes,3,AO,1581475907,82,-15.2,12.15,73.9,9.22
Sibenik,90,HR,1581475907,93,43.73,15.91,48.2,5.86
Dongsheng,2,CN,1581475908,34,39.82,109.98,39.33,14.32
Cabo San Lucas,75,MX,1581475822,67,22.89,-109.91,64.4,10.29
East Wenatchee,1,US,1581475908,45,47.42,-120.29,46.4,4.7
Kieta,4,PG,1581475908,76,-6.22,155.63,84.96,20.74
Nikolskoye,40,RU,1581475908,86,59.7,30.79,35.01,4.47
Nam Som,75,TH,1581475908,65,17.77,102.19,78.8,2.24
Banjarmasin,100,ID,1581475643,62,-3.32,114.59,87.46,2.82
Provincia di Mantova,5,IT,1581475909,65,45.17,10.78,48.99,3.36
Vila,90,PT,1581475909,100,42.03,-8.16,55.99,3.36
Kushima,75,JP,1581475909,93,31.46,131.23,53.6,5.82
Atar,0,MR,1581475909,12,20.52,-13.05,69.24,11.77
Yumen,20,CN,1581475909,26,40.28,97.2,34.56,21.43
Shenjiamen,96,CN,1581475910,95,29.96,122.3,52.03,15.05
Lixouri,5,GR,1581475910,84,38.2,20.43,52.0,4.63
Kirakira,100,SB,1581475910,68,-10.45,161.92,86.04,12.41
Nome,1,US,1581475910,64,64.5,-165.41,-0.99,3.33
Buraidah,0,SA,1581475910,43,26.33,43.98,35.6,4.7
Olafsvik,100,IS,1581475910,69,64.89,-23.71,27.59,11.36
Saint-Louis,0,SN,1581475911,8,16.33,-15.0,73.9,11.92
Ondjiva,0,AO,1581475911,67,-17.07,15.73,66.83,8.08
Waipawa,100,NZ,1581475911,56,-41.41,175.52,84.0,12.75
Lata,40,PT,1581475911,93,40.16,-8.33,55.99,3.36
'Ahuimanu,75,US,1581475911,78,21.44,-157.84,78.8,11.41
Krasnosel'kup,100,RU,1581475911,93,65.7,82.47,3.65,19.08
Kudahuvadhoo,100,MV,1581475912,74,2.67,72.89,83.03,18.25
Constitucion,0,CL,1581475912,91,-35.33,-72.42,56.32,5.39
Saskylakh,28,RU,1581475912,96,71.92,114.08,-33.11,4.9
Paita,0,PE,1581475912,74,-5.09,-81.11,76.42,10.51
Guerrero Negro,0,MX,1581475868,73,27.98,-114.06,59.5,9.17
Ulaanbaatar,40,MN,1581475912,67,47.91,106.88,23.0,4.47
Igrim,86,RU,1581475913,89,63.19,64.42,18.37,8.86
Lompoc,1,US,1581475913,76,34.64,-120.46,55.4,4.29
Asau,0,RO,1581475913,74,46.43,26.4,36.0,1.12
Port Hardy,20,CA,1581475913,80,50.7,-127.42,41.0,8.05
Arshan,95,RU,1581475913,100,46.27,44.22,19.4,13.42
Beloha,0,MG,1581475913,90,-25.17,45.05,68.14,9.33
Oksfjord,40,NO,1581475913,74,70.24,22.35,34.0,25.28
Broome,90,US,1581475914,80,42.25,-75.83,33.01,6.93
Faanui,21,PF,1581475914,80,-16.48,-151.75,81.55,14.18
Malsch,85,DE,1581475914,69,48.88,8.33,41.0,11.41
Dikson,100,RU,1581475974,89,73.51,80.55,4.03,33.17
Wanning,10,CN,1581475974,75,18.8,110.4,75.36,3.76
Kupang,75,ID,1581475974,88,-10.17,123.58,82.4,12.75
Sao Joao da Barra,100,BR,1581475916,95,-21.64,-41.05,72.34,9.69
Ossora,100,RU,1581475975,93,59.24,163.07,8.49,9.44
Assiniboia,100,CA,1581475975,96,49.63,-105.98,25.02,14.63
Praia,34,CV,1581475956,46,14.92,-23.51,71.6,14.99
Galiakot,0,IN,1581475975,42,23.52,74.0,63.18,9.42
